school,year,conference_name,lineage_conference_name
Princeton,1869,Independent,Independent
Rutgers,1869,Independent,Independent
Columbia,1870,Independent,Independent
Princeton,1870,Independent,Independent
Rutgers,1870,Independent,Independent
Columbia,1872,Independent,Independent
Princeton,1872,Independent,Independent
Rutgers,1872,Independent,Independent
Stevens,1872,Independent,Independent
Yale,1872,Independent,Independent
City College of New York,1873,Independent,Independent
Columbia,1873,Independent,Independent
Eton,1873,Independent,Independent
New York University,1873,Independent,Independent
Princeton,1873,Independent,Independent
Rutgers,1873,Independent,Independent
Stevens,1873,Independent,Independent
Yale,1873,Independent,Independent
Columbia,1874,Independent,Independent
New York University,1874,Independent,Independent
Princeton,1874,Independent,Independent
Rutgers,1874,Independent,Independent
Stevens,1874,Independent,Independent
Yale,1874,Independent,Independent
Canada All-Stars,1875,Independent,Independent
City College of New York,1875,Independent,Independent
Columbia,1875,Independent,Independent
Harvard,1875,Independent,Independent
New York University,1875,Independent,Independent
Princeton,1875,Independent,Independent
Rutgers,1875,Independent,Independent
Stevens,1875,Independent,Independent
Tufts,1875,Independent,Independent
Wesleyan (CT),1875,Independent,Independent
Yale,1875,Independent,Independent
Canada All-Stars,1876,Independent,Independent
Columbia,1876,Independent,Independent
Harvard,1876,Independent,Independent
McGill,1876,Independent,Independent
New York University,1876,Independent,Independent
Pennsylvania,1876,Independent,Independent
Philadelphia All-Stars,1876,Independent,Independent
Princeton,1876,Independent,Independent
Rutgers,1876,Independent,Independent
Stevens,1876,Independent,Independent
Yale,1876,Independent,Independent
Amherst,1877,Independent,Independent
Columbia,1877,Independent,Independent
Harvard,1877,Independent,Independent
McGill,1877,Independent,Independent
Princeton,1877,Independent,Independent
Rutgers,1877,Independent,Independent
Stevens,1877,Independent,Independent
Trinity (CT),1877,Independent,Independent
Tufts,1877,Independent,Independent
Yale,1877,Independent,Independent
Amherst,1878,Independent,Independent
Brown,1878,Independent,Independent
City College of New York,1878,Independent,Independent
Columbia,1878,Independent,Independent
Harvard,1878,Independent,Independent
Pennsylvania,1878,Independent,Independent
Princeton,1878,Independent,Independent
Rutgers,1878,Independent,Independent
Stevens,1878,Independent,Independent
Swarthmore,1878,Independent,Independent
Trinity (CT),1878,Independent,Independent
Yale,1878,Independent,Independent
Britannia,1879,Independent,Independent
Columbia,1879,Independent,Independent
Harvard,1879,Independent,Independent
McGill,1879,Independent,Independent
Pennsylvania,1879,Independent,Independent
Pennsylvania Military,1879,Independent,Independent
Princeton,1879,Independent,Independent
Rutgers,1879,Independent,Independent
Stevens,1879,Independent,Independent
Stevens Alumni,1879,Independent,Independent
Yale,1879,Independent,Independent
Britannia,1880,Independent,Independent
Brown,1880,Independent,Independent
City College of New York,1880,Independent,Independent
Columbia,1880,Independent,Independent
Crescent A.C.,1880,Independent,Independent
Harvard,1880,Independent,Independent
Montreal,1880,Independent,Independent
Ottawa,1880,Independent,Independent
Pennsylvania,1880,Independent,Independent
Princeton,1880,Independent,Independent
Rutgers,1880,Independent,Independent
Stevens,1880,Independent,Independent
Yale,1880,Independent,Independent
Amherst,1881,Independent,Independent
Britannia,1881,Independent,Independent
City College of New York,1881,Independent,Independent
Columbia,1881,Independent,Independent
Dartmouth,1881,Independent,Independent
Harvard,1881,Independent,Independent
Michigan,1881,Independent,Independent
Montreal,1881,Independent,Independent
Ottawa,1881,Independent,Independent
Pennsylvania,1881,Independent,Independent
Princeton,1881,Independent,Independent
Rutgers,1881,Independent,Independent
Stevens,1881,Independent,Independent
Yale,1881,Independent,Independent
Amherst,1882,Independent,Independent
British Club of New York,1882,Independent,Independent
City College of New York,1882,Independent,Independent
Columbia,1882,Independent,Independent
Crescent A.C.,1882,Independent,Independent
Dartmouth,1882,Independent,Independent
Harvard,1882,Independent,Independent
Lafayette,1882,Independent,Independent
MIT,1882,Independent,Independent
Massachusetts,1882,Independent,Independent
McGill,1882,Independent,Independent
Pennsylvania,1882,Independent,Independent
Princeton,1882,Independent,Independent
Princeton Alumni,1882,Independent,Independent
Rutgers,1882,Independent,Independent
Stevens,1882,Independent,Independent
Wesleyan (CT),1882,Independent,Independent
Yale,1882,Independent,Independent
Brooklyn Polytechnic Institute,1883,Independent,Independent
City College of New York,1883,Independent,Independent
Columbia,1883,Independent,Independent
Detroit A.C.,1883,Independent,Independent
Harvard,1883,Independent,Independent
Johns Hopkins University,1883,Independent,Independent
Lafayette,1883,Independent,Independent
Lewisburg A.C.,1883,Independent,Independent
MIT,1883,Independent,Independent
Michigan,1883,Independent,Independent
Pennsylvania,1883,Independent,Independent
Pennsylvania Alumni,1883,Independent,Independent
Princeton,1883,Independent,Independent
Rutgers,1883,Independent,Independent
Seton Hall,1883,Independent,Independent
Stevens,1883,Independent,Independent
Wesleyan (CT),1883,Independent,Independent
Williams,1883,Independent,Independent
Yale,1883,Independent,Independent
Columbia,1884,Independent,Independent
Dartmouth,1884,Independent,Independent
Harvard,1884,Independent,Independent
Haverford,1884,Independent,Independent
Johns Hopkins University,1884,Independent,Independent
Lafayette,1884,Independent,Independent
Lehigh,1884,Independent,Independent
MIT,1884,Independent,Independent
Ottawa,1884,Independent,Independent
Pennsylvania,1884,Independent,Independent
Pennsylvania Alumni,1884,Independent,Independent
Princeton,1884,Independent,Independent
Rutgers,1884,Independent,Independent
Stevens,1884,Independent,Independent
Stevens Alumni,1884,Independent,Independent
Trinity (CT),1884,Independent,Independent
Tufts,1884,Independent,Independent
Wesleyan (CT),1884,Independent,Independent
Williams,1884,Independent,Independent
Yale,1884,Independent,Independent
Yale Alumni,1884,Independent,Independent
Yale/Princeton/Harvard Grads,1884,Independent,Independent
City College of New York,1885,Independent,Independent
Columbia Law,1885,Independent,Independent
Crescent A.C.,1885,Independent,Independent
Haverford,1885,Independent,Independent
Johns Hopkins University,1885,Independent,Independent
Lafayette,1885,Independent,Independent
Lehigh,1885,Independent,Independent
MIT,1885,Independent,Independent
Massachusetts,1885,Independent,Independent
Pennsylvania,1885,Independent,Independent
Pennsylvania Alumni,1885,Independent,Independent
Princeton,1885,Independent,Independent
Rutgers,1885,Independent,Independent
Stevens,1885,Independent,Independent
Swarthmore,1885,Independent,Independent
Trinity (CT),1885,Independent,Independent
Wesleyan (CT),1885,Independent,Independent
Yale,1885,Independent,Independent
Amherst,1886,Independent,Independent
Andover,1886,Independent,Independent
Crescent A.C.,1886,Independent,Independent
Dartmouth,1886,Independent,Independent
Dickinson (PA),1886,Independent,Independent
Exeter,1886,Independent,Independent
Falls of Schuylkill,1886,Independent,Independent
Harvard,1886,Independent,Independent
Harvard Alumni,1886,Independent,Independent
Haverford,1886,Independent,Independent
Lafayette,1886,Independent,Independent
Lehigh,1886,Independent,Independent
MIT,1886,Independent,Independent
Massachusetts,1886,Independent,Independent
Pennsylvania,1886,Independent,Independent
Pennsylvania Alumni,1886,Independent,Independent
Philadelphia All-Stars,1886,Independent,Independent
Princeton,1886,Independent,Independent
Rutgers,1886,Independent,Independent
Stevens,1886,Independent,Independent
Swarthmore,1886,Independent,Independent
Tioga,1886,Independent,Independent
Trinity (CT),1886,Independent,Independent
Tufts,1886,Independent,Independent
Vermont,1886,Independent,Independent
Vineland,1886,Independent,Independent
Wesleyan (CT),1886,Independent,Independent
Williams,1886,Independent,Independent
Yale,1886,Independent,Independent
Active Football Club,1887,Independent,Independent
Amherst,1887,Independent,Independent
Andover,1887,Independent,Independent
Boston University,1887,Independent,Independent
Cornell,1887,Independent,Independent
Crescent A.C.,1887,Independent,Independent
Dartmouth,1887,Independent,Independent
Dickinson (PA),1887,Independent,Independent
Exeter,1887,Independent,Independent
Harvard,1887,Independent,Independent
Harvard B,1887,Independent,Independent
Haverford,1887,Independent,Independent
Lafayette,1887,Independent,Independent
Lehigh,1887,Independent,Independent
MIT,1887,Independent,Independent
Maine,1887,Independent,Independent
Massachusetts,1887,Independent,Independent
Pennsylvania,1887,Independent,Independent
Pennsylvania Alumni,1887,Independent,Independent
Princeton,1887,Independent,Independent
Rutgers,1887,Independent,Independent
Stevens,1887,Independent,Independent
Swarthmore,1887,Independent,Independent
Tioga,1887,Independent,Independent
Trinity (CT),1887,Independent,Independent
Tufts,1887,Independent,Independent
Union (NY),1887,Independent,Independent
Wesleyan (CT),1887,Independent,Independent
Williams,1887,Independent,Independent
Williston,1887,Independent,Independent
Yale,1887,Independent,Independent
Amherst,1888,Independent,Independent
Andover,1888,Independent,Independent
Bucknell,1888,Independent,Independent
Cornell,1888,Independent,Independent
Crescent A.C.,1888,Independent,Independent
Dartmouth,1888,Independent,Independent
Dickinson (PA),1888,Independent,Independent
Exeter,1888,Independent,Independent
Fordham,1888,Independent,Independent
Harvard,1888,Independent,Independent
Haverford,1888,Independent,Independent
Johns Hopkins University,1888,Independent,Independent
Lafayette,1888,Independent,Independent
Lehigh,1888,Independent,Independent
MIT,1888,Independent,Independent
Massachusetts,1888,Independent,Independent
Navy,1888,Independent,Independent
Olympic A.C.,1888,Independent,Independent
Palmyra,1888,Independent,Independent
Penn State,1888,Independent,Independent
Pennsylvania,1888,Independent,Independent
Philadelphia All-Stars,1888,Independent,Independent
Princeton,1888,Independent,Independent
Ridgefield A.C.,1888,Independent,Independent
Rutgers,1888,Independent,Independent
Stevens,1888,Independent,Independent
Swarthmore,1888,Independent,Independent
Tioga,1888,Independent,Independent
Trinity (CT),1888,Independent,Independent
Union (NY),1888,Independent,Independent
Wesleyan (CT),1888,Independent,Independent
Williams,1888,Independent,Independent
Worcester Polytechnic Institute,1888,Independent,Independent
Wyoming Seminary,1888,Independent,Independent
Yale,1888,Independent,Independent
Amherst,1889,Independent,Independent
Andover,1889,Independent,Independent
Boston A.C.,1889,Independent,Independent
Brown,1889,Independent,Independent
Bucknell,1889,Independent,Independent
Columbia,1889,Independent,Independent
Columbia A.C.,1889,Independent,Independent
Cornell,1889,Independent,Independent
Crescent A.C.,1889,Independent,Independent
Dartmouth,1889,Independent,Independent
Dickinson (PA),1889,Independent,Independent
Exeter,1889,Independent,Independent
Fordham,1889,Independent,Independent
Franklin & Marshall,1889,Independent,Independent
Harvard,1889,Independent,Independent
Haverford,1889,Independent,Independent
Johns Hopkins University,1889,Independent,Independent
Lafayette,1889,Independent,Independent
Lehigh,1889,Independent,Independent
MIT,1889,Independent,Independent
Manhattan A.C.,1889,Independent,Independent
Michigan,1889,Independent,Independent
Millersville,1889,Independent,Independent
Navy,1889,Independent,Independent
Orange A.C.,1889,Independent,Independent
Penn State,1889,Independent,Independent
Pennsylvania,1889,Independent,Independent
Philadelphia All-Stars,1889,Independent,Independent
Princeton,1889,Independent,Independent
Ridgefield A.C.,1889,Independent,Independent
Rutgers,1889,Independent,Independent
Stevens,1889,Independent,Independent
Swarthmore,1889,Independent,Independent
Swarthmore Alumni,1889,Independent,Independent
Trinity (CT),1889,Independent,Independent
Union (NY),1889,Independent,Independent
University of Rochester (NY),1889,Independent,Independent
Vermont,1889,Independent,Independent
Virginia,1889,Independent,Independent
Wesleyan (CT),1889,Independent,Independent
Williams,1889,Independent,Independent
Williston,1889,Independent,Independent
Yale,1889,Independent,Independent
Amherst,1890,Independent,Independent
Andover,1890,Independent,Independent
Bowdoin,1890,Independent,Independent
Brown,1890,Independent,Independent
Bucknell,1890,Independent,Independent
Chicago A.C.,1890,Independent,Independent
Columbia,1890,Independent,Independent
Columbia A.C.,1890,Independent,Independent
Cornell,1890,Independent,Independent
Crescent A.C.,1890,Independent,Independent
Dartmouth,1890,Independent,Independent
Dickinson (PA),1890,Independent,Independent
Duke,1890,Independent,Independent
Exeter,1890,Independent,Independent
Fordham,1890,Independent,Independent
Franklin & Marshall,1890,Independent,Independent
Gettysburg,1890,Independent,Independent
Harvard,1890,Independent,Independent
Haverford,1890,Independent,Independent
Lafayette,1890,Independent,Independent
Lehigh,1890,Independent,Independent
Lehigh A.C.,1890,Independent,Independent
MIT,1890,Independent,Independent
Manhattan A.C.,1890,Independent,Independent
Massachusetts,1890,Independent,Independent
Michigan,1890,Independent,Independent
Millersville,1890,Independent,Independent
Navy,1890,Independent,Independent
New York A.C.,1890,Independent,Independent
New York University,1890,Independent,Independent
Orange A.C.,1890,Independent,Independent
Penn State,1890,Independent,Independent
Pennsylvania,1890,Independent,Independent
Princeton,1890,Independent,Independent
Randolph-Macon,1890,Independent,Independent
Ridgefield A.C.,1890,Independent,Independent
Rutgers,1890,Independent,Independent
Schuylkill Navy,1890,Independent,Independent
Swarthmore,1890,Independent,Independent
Trinity (CT),1890,Independent,Independent
Troy Laureates,1890,Independent,Independent
Union (NY),1890,Independent,Independent
University of Rochester (NY),1890,Independent,Independent
Vermont,1890,Independent,Independent
Virginia,1890,Independent,Independent
Washington and Lee,1890,Independent,Independent
Wesleyan (CT),1890,Independent,Independent
Williams,1890,Independent,Independent
Williston,1890,Independent,Independent
Yale,1890,Independent,Independent
Amherst,1891,Independent,Independent
Andover,1891,Independent,Independent
Army,1891,Independent,Independent
Berkeley A.C.,1891,Independent,Independent
Boston A.C.,1891,Independent,Independent
Bowdoin,1891,Independent,Independent
Brown,1891,Independent,Independent
Bucknell,1891,Independent,Independent
Chicago A.C.,1891,Independent,Independent
Columbia,1891,Independent,Independent
Columbia A.C.,1891,Independent,Independent
Connecticut Literary,1891,Independent,Independent
Cornell,1891,Independent,Independent
Crescent A.C.,1891,Independent,Independent
Dartmouth,1891,Independent,Independent
Detroit A.C.,1891,Independent,Independent
Dickinson (PA),1891,Independent,Independent
Exeter,1891,Independent,Independent
Fall River,1891,Independent,Independent
Fordham,1891,Independent,Independent
Franklin & Marshall,1891,Independent,Independent
Gallaudet,1891,Independent,Independent
Georgetown,1891,Independent,Independent
Gettysburg,1891,Independent,Independent
Harvard,1891,Independent,Independent
Haverford,1891,Independent,Independent
Holy Cross,1891,Independent,Independent
Johns Hopkins University,1891,Independent,Independent
Lafayette,1891,Independent,Independent
Lehigh,1891,Independent,Independent
MIT,1891,Independent,Independent
Manhattan A.C.,1891,Independent,Independent
Massachusetts,1891,Independent,Independent
Michigan,1891,Independent,Independent
Montclair A.C.,1891,Independent,Independent
Navy,1891,Independent,Independent
New York A.C.,1891,Independent,Independent
New York Law,1891,Independent,Independent
New York University,1891,Independent,Independent
Orange A.C.,1891,Independent,Independent
Penn State,1891,Independent,Independent
Pennsylvania,1891,Independent,Independent
Philadelphia All-Stars,1891,Independent,Independent
Princeton,1891,Independent,Independent
Princeton A.C.,1891,Independent,Independent
Rutgers,1891,Independent,Independent
Schuylkill Navy,1891,Independent,Independent
Springfield,1891,Independent,Independent
St. John's (Maryland),1891,Independent,Independent
Stevens,1891,Independent,Independent
Swarthmore,1891,Independent,Independent
Syracuse,1891,Independent,Independent
Trinity (CT),1891,Independent,Independent
Troy Laureates,1891,Independent,Independent
Tufts,1891,Independent,Independent
Virginia,1891,Independent,Independent
Wesleyan (CT),1891,Independent,Independent
Williams,1891,Independent,Independent
Williston,1891,Independent,Independent
Worcester Polytechnic Institute,1891,Independent,Independent
Wyoming Seminary,1891,Independent,Independent
Yale,1891,Independent,Independent
Albion,1892,Independent,Independent
Amherst,1892,Independent,Independent
Andover,1892,Independent,Independent
Army,1892,Independent,Independent
Baker,1892,Independent,Independent
Beloit,1892,Independent,Independent
Boston A.C.,1892,Independent,Independent
Boston English High,1892,Independent,Independent
Boston Latin High,1892,Independent,Independent
Boston University,1892,Independent,Independent
Bowdoin,1892,Independent,Independent
Brown,1892,Independent,Independent
Bucknell,1892,Independent,Independent
Butler,1892,Independent,Independent
Chicago,1892,Independent,Independent
Chicago A.C.,1892,Independent,Independent
Chicago YMCA,1892,Independent,Independent
Columbia A.C.,1892,Independent,Independent
Connecticut Literary,1892,Independent,Independent
Cornell,1892,Independent,Independent
Crescent A.C.,1892,Independent,Independent
Dartmouth,1892,Independent,Independent
Depauw,1892,Independent,Independent
Dickinson (PA),1892,Independent,Independent
Doane,1892,Independent,Independent
Englewood High,1892,Independent,Independent
Englewood YMCA,1892,Independent,Independent
Exeter,1892,Independent,Independent
Fall River,1892,Independent,Independent
Franklin & Marshall,1892,Independent,Independent
Georgetown,1892,Independent,Independent
Grinnell,1892,Independent,Independent
Harvard,1892,Independent,Independent
Harvard Freshmen,1892,Independent,Independent
Haverford,1892,Independent,Independent
Hyde Park High,1892,Independent,Independent
Illinois,1892,Independent,Independent
Indiana,1892,Independent,Independent
Kansas,1892,Independent,Independent
Kansas City A.C.,1892,Independent,Independent
Lafayette,1892,Independent,Independent
Lake Forest College,1892,Independent,Independent
Lake View High,1892,Independent,Independent
Lehigh,1892,Independent,Independent
MIT,1892,Independent,Independent
Manhattan A.C.,1892,Independent,Independent
Massachusetts,1892,Independent,Independent
Michigan,1892,Independent,Independent
Michigan A.C.,1892,Independent,Independent
Minnesota,1892,Independent,Independent
Minnesota Alumni,1892,Independent,Independent
Mount Hermon,1892,Independent,Independent
Navy,1892,Independent,Independent
Nebraska,1892,Independent,Independent
New York A.C.,1892,Independent,Independent
Northwestern,1892,Independent,Independent
Oberlin,1892,Independent,Independent
Orange A.C.,1892,Independent,Independent
Penn State,1892,Independent,Independent
Pennsylvania,1892,Independent,Independent
Pittsburgh A.C.,1892,Independent,Independent
Princeton,1892,Independent,Independent
Princeton A.C.,1892,Independent,Independent
Purdue,1892,Independent,Independent
Rensselaer,1892,Independent,Independent
Rutgers,1892,Independent,Independent
Springfield,1892,Independent,Independent
Stevens,1892,Independent,Independent
Swarthmore,1892,Independent,Independent
Syracuse,1892,Independent,Independent
Syracuse A.C.,1892,Independent,Independent
Temperance A.C.,1892,Independent,Independent
Trinity (CT),1892,Independent,Independent
Troy Laureates,1892,Independent,Independent
Tufts,1892,Independent,Independent
Union (NY),1892,Independent,Independent
University Club of Chicago,1892,Independent,Independent
Virginia,1892,Independent,Independent
Wabash College,1892,Independent,Independent
Washington University (St. Louis),1892,Independent,Independent
Wesleyan (CT),1892,Independent,Independent
Williams,1892,Independent,Independent
Williston,1892,Independent,Independent
Wisconsin,1892,Independent,Independent
Worcester Polytechnic Institute,1892,Independent,Independent
Yale,1892,Independent,Independent
Amherst,1893,Independent,Independent
Andover,1893,Independent,Independent
Armour,1893,Independent,Independent
Army,1893,Independent,Independent
Bankers A.C.,1893,Independent,Independent
Beloit,1893,Independent,Independent
Boston A.C.,1893,Independent,Independent
Boston College,1893,Independent,Independent
Bowdoin,1893,Independent,Independent
Brown,1893,Independent,Independent
Butler,1893,Independent,Independent
Chicago,1893,Independent,Independent
Chicago A.C.,1893,Independent,Independent
Cincinnati,1893,Independent,Independent
Columbia A.C.,1893,Independent,Independent
Cornell,1893,Independent,Independent
Crescent A.C.,1893,Independent,Independent
Dartmouth,1893,Independent,Independent
Dean Academy,1893,Independent,Independent
Denver A.C.,1893,Independent,Independent
Depauw,1893,Independent,Independent
Detroit A.C.,1893,Independent,Independent
Dickinson (PA),1893,Independent,Independent
Exeter,1893,Independent,Independent
Franklin & Marshall,1893,Independent,Independent
Georgetown,1893,Independent,Independent
Gettysburg,1893,Independent,Independent
Greenfield,1893,Independent,Independent
Grinnell,1893,Independent,Independent
Hamline University,1893,Independent,Independent
Harvard,1893,Independent,Independent
Harvard Alumni,1893,Independent,Independent
Illinois,1893,Independent,Independent
Indiana,1893,Independent,Independent
Kansas,1893,Independent,Independent
Lafayette,1893,Independent,Independent
Lake Forest College,1893,Independent,Independent
Lawrenceville,1893,Independent,Independent
Lehigh,1893,Independent,Independent
MIT,1893,Independent,Independent
Massachusetts,1893,Independent,Independent
Michigan,1893,Independent,Independent
Minnesota,1893,Independent,Independent
Mount Hermon,1893,Independent,Independent
Navy,1893,Independent,Independent
New York A.C.,1893,Independent,Independent
North Carolina,1893,Independent,Independent
Northwestern,1893,Independent,Independent
Notre Dame,1893,Independent,Independent
Oberlin,1893,Independent,Independent
Orange A.C.,1893,Independent,Independent
Pastime A.C.,1893,Independent,Independent
Penn State,1893,Independent,Independent
Pennsylvania,1893,Independent,Independent
Princeton,1893,Independent,Independent
Purdue,1893,Independent,Independent
Springfield,1893,Independent,Independent
Stevens,1893,Independent,Independent
Syracuse,1893,Independent,Independent
Temperance A.C.,1893,Independent,Independent
Trinity (CT),1893,Independent,Independent
Troy Laureates,1893,Independent,Independent
Tufts,1893,Independent,Independent
Union (NY),1893,Independent,Independent
Volunteer A.C.,1893,Independent,Independent
Wabash College,1893,Independent,Independent
Wesleyan (CT),1893,Independent,Independent
Williams,1893,Independent,Independent
Williston,1893,Independent,Independent
Wisconsin,1893,Independent,Independent
Worcester Polytechnic Institute,1893,Independent,Independent
Yale,1893,Independent,Independent
Yale Freshmen,1893,Independent,Independent
Adrian,1894,Independent,Independent
Albion,1894,Independent,Independent
Amherst,1894,Independent,Independent
Andover,1894,Independent,Independent
Armour,1894,Independent,Independent
Army,1894,Independent,Independent
Beloit,1894,Independent,Independent
Boston A.C.,1894,Independent,Independent
Boston University,1894,Independent,Independent
Bowdoin,1894,Independent,Independent
Brown,1894,Independent,Independent
Bucknell,1894,Independent,Independent
Butler,1894,Independent,Independent
C.M.T.S.,1894,Independent,Independent
Camp Adams,1894,Independent,Independent
Carlisle,1894,Independent,Independent
Case,1894,Independent,Independent
Chicago,1894,Independent,Independent
Chicago A.C.,1894,Independent,Independent
Chicago Dining Club,1894,Independent,Independent
Cornell,1894,Independent,Independent
Crescent A.C.,1894,Independent,Independent
Dartmouth,1894,Independent,Independent
Depauw,1894,Independent,Independent
Englewood High,1894,Independent,Independent
Englewood YMCA,1894,Independent,Independent
Evanston High,1894,Independent,Independent
Exeter,1894,Independent,Independent
F.A.A.,1894,Independent,Independent
Franklin & Marshall,1894,Independent,Independent
Georgetown,1894,Independent,Independent
Gettysburg,1894,Independent,Independent
Grinnell,1894,Independent,Independent
Hartford,1894,Independent,Independent
Harvard,1894,Independent,Independent
Hyde Park,1894,Independent,Independent
Illinois,1894,Independent,Independent
Indianapolis Artillery,1894,Independent,Independent
Iowa,1894,Independent,Independent
Kansas,1894,Independent,Independent
Lafayette,1894,Independent,Independent
Lake Forest College,1894,Independent,Independent
Laureate Boat Club,1894,Independent,Independent
Lehigh,1894,Independent,Independent
MIT,1894,Independent,Independent
Manual Training High,1894,Independent,Independent
Massachusetts,1894,Independent,Independent
Michigan,1894,Independent,Independent
Michigan Military Academy,1894,Independent,Independent
Minnesota,1894,Independent,Independent
Mount Hermon,1894,Independent,Independent
Navy,1894,Independent,Independent
North Carolina,1894,Independent,Independent
Northwestern,1894,Independent,Independent
Oberlin,1894,Independent,Independent
Olivet,1894,Independent,Independent
Orange A.C.,1894,Independent,Independent
Pastime A.C.,1894,Independent,Independent
Penn State,1894,Independent,Independent
Pennsylvania,1894,Independent,Independent
Prairie A.C.,1894,Independent,Independent
Princeton,1894,Independent,Independent
Purdue,1894,Independent,Independent
Reliance A.C.,1894,Independent,Independent
Rensselaer,1894,Independent,Independent
Ripon,1894,Independent,Independent
Rush Medical,1894,Independent,Independent
Rutgers,1894,Independent,Independent
Salt Lake YMCA,1894,Independent,Independent
St. John's M.A.,1894,Independent,Independent
Stanford,1894,Independent,Independent
Swarthmore,1894,Independent,Independent
Syracuse,1894,Independent,Independent
Trinity (CT),1894,Independent,Independent
Troy Laureates,1894,Independent,Independent
Tufts,1894,Independent,Independent
Union (NY),1894,Independent,Independent
Virginia,1894,Independent,Independent
Volunteer A.C.,1894,Independent,Independent
Wabash College,1894,Independent,Independent
Wesleyan (CT),1894,Independent,Independent
Williams,1894,Independent,Independent
Williston,1894,Independent,Independent
Wisconsin,1894,Independent,Independent
Worcester Polytechnic Institute,1894,Independent,Independent
Yale,1894,Independent,Independent
Adelbert,1895,Independent,Independent
Amherst,1895,Independent,Independent
Amherst YMCA,1895,Independent,Independent
Andover,1895,Independent,Independent
Armour,1895,Independent,Independent
Army,1895,Independent,Independent
Baltimore A.C.,1895,Independent,Independent
Bates,1895,Independent,Independent
Beloit,1895,Independent,Independent
Boston A.C.,1895,Independent,Independent
Boston College,1895,Independent,Independent
Boston Latin High,1895,Independent,Independent
Boston University,1895,Independent,Independent
Bowdoin,1895,Independent,Independent
Brown,1895,Independent,Independent
Bucknell,1895,Independent,Independent
Butte A.C.,1895,Independent,Independent
Carlisle,1895,Independent,Independent
Chicago,1895,Independent,Independent
Chicago A.C.,1895,Independent,Independent
Colgate,1895,Independent,Independent
Cornell,1895,Independent,Independent
Crescent A.C.,1895,Independent,Independent
Dartmouth,1895,Independent,Independent
Detroit A.C.,1895,Independent,Independent
Duquesne A.C.,1895,Independent,Independent
Elizabeth A.C.,1895,Independent,Independent
Englewood High,1895,Independent,Independent
Englewood YMCA,1895,Independent,Independent
Eureka,1895,Independent,Independent
Evanston High,1895,Independent,Independent
Exeter,1895,Independent,Independent
Franklin & Marshall,1895,Independent,Independent
Grinnell,1895,Independent,Independent
Harvard,1895,Independent,Independent
Hopkinson,1895,Independent,Independent
Hyde Park High,1895,Independent,Independent
Illinois,1895,Independent,Independent
Illinois College,1895,Independent,Independent
Illinois Cycling Club,1895,Independent,Independent
Iowa,1895,Independent,Independent
Iowa State,1895,Independent,Independent
Kentucky,1895,Independent,Independent
Lafayette,1895,Independent,Independent
Lake Forest College,1895,Independent,Independent
Lawrenceville,1895,Independent,Independent
Lehigh,1895,Independent,Independent
MIT,1895,Independent,Independent
Macalester,1895,Independent,Independent
Massachusetts,1895,Independent,Independent
Michigan,1895,Independent,Independent
Michigan Military Academy,1895,Independent,Independent
Minneapolis Boat Club,1895,Independent,Independent
Minneapolis Central High,1895,Independent,Independent
Minnesota,1895,Independent,Independent
Minnesota Alumni,1895,Independent,Independent
Missouri,1895,Independent,Independent
Navy,1895,Independent,Independent
New York A.C.,1895,Independent,Independent
New York University,1895,Independent,Independent
Newton A.C.,1895,Independent,Independent
Northwestern,1895,Independent,Independent
Oberlin,1895,Independent,Independent
Orange A.C.,1895,Independent,Independent
Penn State,1895,Independent,Independent
Pennsylvania,1895,Independent,Independent
Pittsfield A.C.,1895,Independent,Independent
Princeton,1895,Independent,Independent
Princeton Seminary,1895,Independent,Independent
Purdue,1895,Independent,Independent
Rutgers,1895,Independent,Independent
Sioux City A.C.,1895,Independent,Independent
South Berwick,1895,Independent,Independent
St. Steven's,1895,Independent,Independent
Swarthmore,1895,Independent,Independent
Syracuse,1895,Independent,Independent
Trinity (CT),1895,Independent,Independent
Troy Laureates,1895,Independent,Independent
Tufts,1895,Independent,Independent
Union (NY),1895,Independent,Independent
Ursinus,1895,Independent,Independent
Virginia,1895,Independent,Independent
Wabash College,1895,Independent,Independent
Wesleyan (CT),1895,Independent,Independent
Western Reserve,1895,Independent,Independent
Whitman,1895,Independent,Independent
Williams,1895,Independent,Independent
Williston,1895,Independent,Independent
Wisconsin,1895,Independent,Independent
Worcester Polytechnic Institute,1895,Independent,Independent
Yale,1895,Independent,Independent
Yale Consolidated,1895,Independent,Independent
Amherst,1896,Independent,Independent
Andover,1896,Independent,Independent
Armour,1896,Independent,Independent
Army,1896,Independent,Independent
Bates,1896,Independent,Independent
Beloit,1896,Independent,Independent
Bennett Medical,1896,Independent,Independent
Bloomsburg,1896,Independent,Independent
Boston A.C.,1896,Independent,Independent
Boston College,1896,Independent,Independent
Bowdoin,1896,Independent,Independent
Brown,1896,Independent,Independent
Bucknell,1896,Independent,Independent
Carleton,1896,Independent,Independent
Carlisle,1896,Independent,Independent
Chicago,1896,Independent,Independent
Chicago A.C.,1896,Independent,Independent
Chicago Alumni,1896,Independent,Independent
Cincinnati,1896,Independent,Independent
Colby College,1896,Independent,Independent
Colgate,1896,Independent,Independent
Cornell,1896,Independent,Independent
Dartmouth,1896,Independent,Independent
Depauw,1896,Independent,Independent
Dickinson (PA),1896,Independent,Independent
Duquesne A.C.,1896,Independent,Independent
Eastern Michigan,1896,Independent,Independent
Elizabeth A.C.,1896,Independent,Independent
Englewood High,1896,Independent,Independent
